Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category
Nurse,113394,0,Bachelor's,0.09,0.56,0.14,Low
Nurse,40002,10,PhD,0.83,0.7,0.09,Low
Research Scientist,107365,22,PhD,0.78,0.97,0.24,Low
Retail Worker,44833,18,Bachelor's,0.61,0.6,0.91,High
UX Researcher,52844,24,Master's,0.71,0.54,0.38,Medium
HR Specialist,95265,6,High School,0.16,0.83,0.31,Medium
Data Scientist,35725,9,Master's,0.47,0.63,0.33,Medium
Security Guard,33573,21,Bachelor's,0.21,0.54,0.82,High
Retail Worker,65744,19,Bachelor's,0.9,1.18,0.85,High
Retail Worker,58672,12,Bachelor's,0.4,1.45,0.76,High
Software Engineer,107831,23,Master's,0.06,0.64,0.48,Medium
Teacher,69215,7,Master's,0.19,0.74,0.25,Low
Research Scientist,88769,5,Master's,0.08,0.51,0.15,Low
Nurse,48408,9,High School,0.54,0.8,0.22,Low
HR Specialist,34286,3,PhD,0.82,0.75,0.47,Medium
Customer Support,86153,11,Master's,0.57,1.24,0.84,High
Doctor,102944,6,High School,0.9,1.26,0.26,Low
Doctor,92845,22,High School,0.24,0.96,0.1,Low
Doctor,145429,14,Bachelor's,0.17,0.52,0.1,Low
Teacher,144621,5,High School,0,1.37,0.26,Low
Construction Worker,110174,4,Bachelor's,0.53,1.35,0.71,High
HR Specialist,95951,3,High School,0.68,0.64,0.36,Medium
Financial Analyst,132255,20,Bachelor's,0.92,0.61,0.38,Medium
Teacher,77052,22,High School,0.05,1.24,0.14,Low
Truck Driver,98324,21,PhD,0.01,1.24,0.77,High
Software Engineer,127204,15,Bachelor's,0.03,1.47,0.56,Medium
Data Scientist,106489,11,High School,0.44,1.22,0.56,Medium
Chef,138906,2,PhD,0.9,0.7,0.42,Medium
Customer Support,105477,19,Bachelor's,0.97,0.93,0.76,High
Graphic Designer,128103,21,Bachelor's,0.08,1.29,0.63,Medium
Lawyer,58401,4,High School,0.94,1.02,0.51,Medium
Security Guard,109870,14,Master's,0.55,1.11,0.88,High
AI Engineer,93560,21,PhD,0.6,0.72,0.13,Low
Teacher,143114,15,High School,0.46,1.19,0.16,Low
HR Specialist,128960,7,Master's,0.52,1.06,0.59,Medium
Chef,30125,14,PhD,0.8,1.27,0.31,Medium
Software Engineer,121703,15,Master's,0.9,0.95,0.46,Medium
Chef,40736,25,Bachelor's,0.87,1.45,0.31,Medium
Lawyer,131709,25,High School,0.66,1.01,0.59,Medium
Data Scientist,48050,29,Bachelor's,0.68,1.05,0.57,Medium
Doctor,38338,20,PhD,0.83,0.92,0.16,Low
HR Specialist,80382,22,High School,0.87,1.23,0.6,Medium
Data Scientist,147511,0,High School,1,0.76,0.59,Medium
Software Engineer,46791,4,Bachelor's,0.01,1.49,0.69,Medium
UX Researcher,114300,16,Master's,0.09,1.36,0.54,Medium
Security Guard,105165,6,Bachelor's,0.41,0.66,0.83,High
Customer Support,68180,29,High School,0.17,0.56,0.77,High
Nurse,72019,16,Bachelor's,0.72,1.21,0.18,Low
Lawyer,117464,9,High School,0.51,0.92,0.48,Medium
Construction Worker,100278,28,Master's,0.5,1.07,0.88,High
UX Researcher,105073,1,Master's,0.28,1.4,0.37,Medium
UX Researcher,35922,23,Bachelor's,1,1.45,0.54,Medium
Financial Analyst,99915,13,High School,0.19,0.72,0.62,Medium
UX Researcher,143868,27,Master's,0.06,1.23,0.43,Medium
Mechanic,30318,10,Bachelor's,0.03,0.95,0.52,Medium
Lawyer,144148,19,PhD,0.59,0.64,0.56,Medium
Financial Analyst,68790,3,PhD,0.65,0.87,0.43,Medium
Financial Analyst,102353,6,Bachelor's,0.01,1.13,0.55,Medium
Customer Support,50810,16,High School,0.77,1.46,0.71,High
Research Scientist,83565,2,High School,0,0.61,0.14,Low
Research Scientist,74555,2,Bachelor's,0.66,1.48,0.29,Low
Retail Worker,110196,17,Master's,0.98,1.35,0.81,High
Marketing Manager,133501,10,Bachelor's,0.19,1.22,0.43,Medium
HR Specialist,60639,10,Bachelor's,0.2,0.56,0.52,Medium
Retail Worker,94414,21,PhD,0.75,0.67,0.85,High
Teacher,97963,25,Bachelor's,0.69,1.15,0.15,Low
Research Scientist,137020,23,PhD,0.53,0.98,0.22,Low
Truck Driver,71941,22,High School,0.45,1.36,0.92,High
Retail Worker,54269,1,PhD,0.87,1.17,0.87,High
Security Guard,122816,15,Master's,0.1,1,0.81,High
Data Scientist,97500,23,Master's,0.26,1.1,0.57,Medium
Lawyer,129626,11,Bachelor's,0.47,0.5,0.46,Medium
Financial Analyst,95107,9,Bachelor's,0.13,0.55,0.61,Medium
Security Guard,49638,16,High School,0.41,0.87,0.83,High
Data Scientist,131471,4,Master's,0.98,0.92,0.38,Medium
Data Scientist,65319,25,High School,0.76,0.87,0.65,Medium
Security Guard,46029,14,Master's,0.2,1.19,0.75,High
AI Engineer,62380,2,Master's,0.29,1.12,0.1,Low
HR Specialist,108966,4,Bachelor's,0.07,1.2,0.47,Medium
Financial Analyst,142692,27,PhD,0.39,1.16,0.67,Medium
Customer Support,33518,6,PhD,0.89,1.49,0.84,High
Software Engineer,49098,6,Master's,0.2,0.64,0.43,Medium
Construction Worker,130992,4,PhD,0.08,1.34,0.81,High
Software Engineer,43950,2,PhD,0.16,1,0.67,Medium
Financial Analyst,96603,24,High School,0.19,0.62,0.5,Medium
Nurse,106831,23,Master's,0.32,1.48,0.07,Low
Retail Worker,81850,22,High School,0.92,0.9,0.85,High
Nurse,142697,16,PhD,0.1,1.02,0.19,Low
Marketing Manager,63158,18,High School,0.7,0.64,0.54,Medium
Truck Driver,43065,18,PhD,0.55,0.77,0.73,High
Construction Worker,53115,16,Master's,0.89,0.97,0.91,High
Financial Analyst,111462,0,Bachelor's,0.9,1.38,0.32,Medium
Retail Worker,30234,18,PhD,0.71,0.73,0.8,High
Software Engineer,80262,17,High School,0.33,1.17,0.51,Medium
AI Engineer,100529,27,Bachelor's,0.58,0.74,0.27,Low
Chef,72563,6,PhD,0.04,1.27,0.53,Medium
Lawyer,122983,27,Master's,0.92,0.93,0.42,Medium
AI Engineer,93815,3,High School,0.79,0.91,0.22,Low
Graphic Designer,58385,3,High School,0.07,1.11,0.32,Medium
Software Engineer,148297,29,Bachelor's,0.77,1.08,0.63,Medium
Marketing Manager,35289,19,High School,0.41,1.41,0.35,Medium
Construction Worker,35877,0,Master's,0.91,1.02,0.94,High
Data Scientist,52761,0,Master's,0.89,1.14,0.4,Medium
Retail Worker,123758,18,Master's,0.64,0.89,0.83,High
Graphic Designer,86366,2,High School,0.04,0.72,0.66,Medium
UX Researcher,85652,22,Master's,0.53,0.53,0.49,Medium
Software Engineer,55286,23,PhD,0.28,1.28,0.57,Medium
Graphic Designer,104041,19,High School,0.98,0.74,0.64,Medium
Doctor,140998,9,High School,0.77,0.78,0.05,Low
HR Specialist,122743,20,Master's,0.23,1.31,0.45,Medium
Nurse,64303,17,Bachelor's,0.87,1.02,0.28,Low
AI Engineer,89977,3,Master's,0.27,0.76,0.13,Low
Software Engineer,67133,19,Bachelor's,0.83,1.27,0.63,Medium
Graphic Designer,70680,19,Master's,0.04,1.11,0.59,Medium
Construction Worker,47013,16,High School,0.7,0.63,0.95,High
Graphic Designer,139982,26,Bachelor's,0.65,1.27,0.44,Medium
Lawyer,114935,22,PhD,0.6,0.68,0.36,Medium
Customer Support,74741,12,PhD,0.19,0.95,0.94,High
Doctor,114153,20,High School,0.34,0.95,0.19,Low
Construction Worker,113110,11,High School,0.85,0.81,0.84,High
Truck Driver,108596,9,Bachelor's,0.21,1.45,0.9,High
Marketing Manager,94274,10,PhD,0.14,0.86,0.49,Medium
Marketing Manager,135649,11,PhD,0.86,0.59,0.56,Medium
Doctor,131433,10,High School,0.8,0.71,0.12,Low
Chef,148962,27,Bachelor's,0.32,1.38,0.56,Medium
Construction Worker,104901,5,Master's,0.93,0.74,0.91,High
Teacher,44133,27,Bachelor's,0.1,0.61,0.25,Low
Research Scientist,114293,11,High School,0.7,1.45,0.08,Low
AI Engineer,66155,9,PhD,0.87,1.25,0.26,Low
UX Researcher,116070,24,PhD,0.53,0.79,0.35,Medium
Nurse,86439,20,Bachelor's,0.53,0.87,0.05,Low
AI Engineer,98500,6,Bachelor's,0.19,1.22,0.14,Low
Research Scientist,79887,19,PhD,0.56,0.56,0.2,Low
Research Scientist,109880,14,Master's,0.51,1.26,0.09,Low
Graphic Designer,105352,4,Master's,0.41,0.73,0.65,Medium
Truck Driver,73781,17,PhD,0.94,1.34,0.93,High
Teacher,126492,12,High School,0.08,0.88,0.28,Low
Marketing Manager,149635,19,PhD,0.83,0.56,0.65,Medium
Doctor,99368,19,Master's,0.79,0.96,0.05,Low
Security Guard,94344,0,Bachelor's,0.52,1.17,0.72,High
Graphic Designer,79223,1,High School,0.47,1.17,0.68,Medium
Construction Worker,68907,8,Bachelor's,0.05,1.07,0.93,High
Nurse,115733,8,Master's,0.43,1.08,0.12,Low
Graphic Designer,80281,6,Bachelor's,0,1.1,0.48,Medium
Retail Worker,128203,12,Master's,0.29,0.82,0.7,Medium
HR Specialist,96416,18,High School,0.54,1.41,0.37,Medium
Doctor,59825,21,High School,0.99,1.33,0.19,Low
Financial Analyst,42795,8,High School,0.3,1.41,0.46,Medium
UX Researcher,127391,14,Bachelor's,0.18,1.18,0.5,Medium
Lawyer,87635,16,Bachelor's,0.35,1.29,0.34,Medium
Graphic Designer,111115,14,Bachelor's,0.12,0.75,0.63,Medium
AI Engineer,87392,26,Master's,0.85,0.82,0.13,Low
Security Guard,100143,0,Bachelor's,0.96,1.17,0.8,High
Customer Support,94863,8,High School,0.68,0.6,0.82,High
HR Specialist,48819,4,High School,0.3,1.19,0.47,Medium
Software Engineer,142255,29,Master's,0.07,0.67,0.31,Medium
AI Engineer,128664,25,High School,0.89,1.12,0.15,Low
AI Engineer,33347,17,Bachelor's,0.38,0.6,0.17,Low
UX Researcher,105618,1,Master's,0.83,1.34,0.63,Medium
Software Engineer,135309,5,PhD,0.99,0.99,0.63,Medium
Nurse,78276,19,Bachelor's,0.97,0.9,0.28,Low
Customer Support,145269,27,PhD,0.14,1.22,0.84,High
Customer Support,47060,16,Bachelor's,0.6,1.15,0.83,High
Customer Support,118307,25,Bachelor's,0.9,0.57,0.93,High
Retail Worker,98140,5,Master's,0.78,1.43,0.88,High
Retail Worker,145092,25,Master's,0.98,1.3,0.89,High
Customer Support,122965,9,Master's,0.15,1.36,0.92,High
Retail Worker,138204,22,Bachelor's,0.26,0.58,0.94,High
Graphic Designer,138500,15,Bachelor's,0.66,1.28,0.55,Medium
Truck Driver,49728,6,Bachelor's,0.91,1.08,0.72,High
Lawyer,79108,13,High School,0.42,1.08,0.33,Medium
Marketing Manager,114724,20,High School,0.42,1.3,0.41,Medium
Marketing Manager,123566,10,High School,0.95,0.51,0.48,Medium
Truck Driver,33984,0,Bachelor's,0.6,1.19,0.8,High
Chef,140839,16,High School,1,0.53,0.33,Medium
Marketing Manager,78481,1,High School,0.12,0.67,0.7,Medium
Financial Analyst,101343,10,Bachelor's,0.51,0.51,0.42,Medium
Research Scientist,84034,26,Master's,0.02,1.09,0.27,Low
Mechanic,66419,17,Master's,0.35,0.87,0.38,Medium
Graphic Designer,79357,4,High School,0.66,0.81,0.41,Medium
Nurse,99064,7,Bachelor's,0.46,1.36,0.28,Low
HR Specialist,44280,2,Bachelor's,0.17,1.25,0.62,Medium
Construction Worker,49691,26,Master's,0.7,1.05,0.72,High
Data Scientist,95234,4,Bachelor's,0.78,1.28,0.44,Medium
Graphic Designer,63783,2,High School,0.41,1,0.63,Medium
HR Specialist,95609,26,High School,0.61,1.11,0.6,Medium
Marketing Manager,34590,20,PhD,0.9,1.01,0.66,Medium
Financial Analyst,141463,18,Master's,0.63,1.05,0.53,Medium
Truck Driver,90891,22,Bachelor's,0.15,1.24,0.8,High
Data Scientist,127976,9,High School,0.29,1.03,0.64,Medium
Security Guard,137046,19,Master's,0.57,1.05,0.8,High
Doctor,51058,25,PhD,0.01,1.35,0.23,Low
Customer Support,34258,26,Master's,0.33,1.23,0.88,High
Truck Driver,107273,28,PhD,0.78,0.8,0.75,High
Nurse,144365,15,PhD,0.19,0.98,0.07,Low
Financial Analyst,91146,21,Bachelor's,0.83,1.18,0.31,Medium
Graphic Designer,139759,20,PhD,0.37,1.23,0.47,Medium
Construction Worker,89087,16,Master's,0.2,0.59,0.88,High
Chef,105692,0,PhD,0.69,0.76,0.67,Medium
HR Specialist,94930,26,High School,0.37,0.56,0.63,Medium
Doctor,80852,23,PhD,0.11,1.08,0.07,Low
Financial Analyst,135857,4,High School,0.04,0.96,0.63,Medium
AI Engineer,118816,24,Master's,0.36,1.07,0.11,Low
Data Scientist,73906,21,PhD,0.62,1.11,0.39,Medium
Research Scientist,79723,23,Master's,0.09,1.43,0.21,Low
Nurse,98457,21,Master's,0.55,1.16,0.27,Low
HR Specialist,35659,1,High School,0.81,0.81,0.46,Medium
Doctor,114295,10,Master's,0.19,1.35,0.19,Low
Doctor,128989,16,High School,0.07,0.51,0.09,Low
HR Specialist,125011,4,High School,0.72,0.58,0.57,Medium
Research Scientist,70372,24,Bachelor's,0.77,0.56,0.26,Low
Lawyer,37203,28,High School,0.47,1.28,0.32,Medium
Marketing Manager,72928,8,High School,0.74,0.78,0.45,Medium
UX Researcher,42568,3,PhD,0.75,1.4,0.42,Medium
Data Scientist,147982,28,Bachelor's,0.52,1.04,0.43,Medium
Software Engineer,81011,0,PhD,0.97,1.05,0.48,Medium
Data Scientist,148691,1,PhD,0.44,0.6,0.4,Medium
UX Researcher,139014,10,PhD,0.39,1.03,0.44,Medium
Chef,111164,28,Master's,0.34,1.25,0.62,Medium
Data Scientist,37529,21,Bachelor's,0.81,0.61,0.61,Medium
Doctor,125707,1,Master's,0.34,1.14,0.26,Low
Chef,139633,23,PhD,0.48,0.51,0.31,Medium
AI Engineer,75477,2,PhD,0.05,0.8,0.19,Low
Teacher,84756,28,PhD,0.1,0.78,0.12,Low
Teacher,67309,12,High School,0.02,0.72,0.2,Low
Research Scientist,130043,20,Master's,0.34,1.26,0.21,Low
UX Researcher,101880,10,PhD,0.43,0.69,0.51,Medium
UX Researcher,37011,4,Master's,0.46,0.74,0.48,Medium
Security Guard,89658,0,Master's,0.73,1.43,0.89,High
Construction Worker,99720,27,PhD,0.72,1.39,0.7,Medium
Chef,115934,13,PhD,0.69,0.5,0.67,Medium
Teacher,104713,13,High School,0.7,1.49,0.07,Low
Retail Worker,51622,12,High School,0.97,1.49,0.86,High
Research Scientist,118635,10,PhD,0.92,0.89,0.16,Low
Security Guard,58645,18,Bachelor's,0.76,0.51,0.82,High
Graphic Designer,74511,14,PhD,0.37,1.07,0.62,Medium
HR Specialist,101013,19,Bachelor's,0.8,1.47,0.32,Medium
Marketing Manager,131277,18,Master's,0.71,0.93,0.59,Medium
Financial Analyst,47881,28,Bachelor's,0.28,1.42,0.47,Medium
Software Engineer,109741,18,Bachelor's,0.3,1.36,0.38,Medium
Customer Support,126509,11,PhD,0.24,1.12,0.81,High
Financial Analyst,85308,18,Bachelor's,0.72,0.81,0.31,Medium
Truck Driver,41467,7,Master's,0.44,1.3,0.93,High
Software Engineer,82762,8,High School,0.23,1.46,0.5,Medium
Financial Analyst,125711,14,PhD,0.51,0.8,0.36,Medium
Chef,131011,4,High School,0.27,0.79,0.32,Medium
HR Specialist,36588,14,Bachelor's,0.54,0.81,0.5,Medium
Mechanic,133768,0,High School,0.74,1.38,0.45,Medium
Lawyer,149170,22,High School,0.39,1.13,0.42,Medium
Construction Worker,91860,15,High School,0.31,0.64,0.89,High
Teacher,106206,21,Master's,0.77,1.36,0.14,Low
Customer Support,145155,0,Master's,0.18,1.32,0.77,High
Research Scientist,101812,24,Master's,0.58,0.59,0.18,Low
UX Researcher,89199,15,Bachelor's,0.88,1.16,0.43,Medium
Teacher,141176,2,Bachelor's,0.45,0.81,0.26,Low
Software Engineer,53983,18,High School,0.33,1.2,0.56,Medium
Customer Support,35807,16,Master's,0.65,1.26,0.76,High
Mechanic,82546,25,High School,0.63,0.58,0.35,Medium
Graphic Designer,40987,16,PhD,0.67,0.54,0.46,Medium
Research Scientist,116856,12,PhD,0.09,1.41,0.12,Low
Software Engineer,71397,15,High School,0.07,0.98,0.49,Medium
Security Guard,45456,20,High School,0.04,1.47,0.7,Medium
Graphic Designer,66911,11,High School,0.86,0.69,0.4,Medium
Retail Worker,34852,19,High School,0.08,1.03,0.9,High
Data Scientist,42705,27,Bachelor's,0.64,0.59,0.31,Medium
Nurse,65495,23,PhD,0.73,1.5,0.13,Low
Truck Driver,99282,2,Master's,0.28,0.92,0.8,High
Software Engineer,107275,19,Master's,0.96,0.52,0.61,Medium
Financial Analyst,45573,2,High School,0.68,0.69,0.57,Medium
Graphic Designer,128853,20,Bachelor's,0.87,1.25,0.47,Medium
UX Researcher,65314,24,Master's,0.67,1.28,0.37,Medium
Doctor,88826,6,PhD,0.46,0.61,0.12,Low
Truck Driver,53449,17,Master's,0.61,1.24,0.78,High
Marketing Manager,87564,27,PhD,0.66,0.89,0.44,Medium
Research Scientist,32405,3,Master's,0.89,1.21,0.19,Low
Marketing Manager,114028,2,High School,0.34,1.2,0.49,Medium
Construction Worker,122061,20,PhD,0.5,1.5,0.82,High
UX Researcher,121396,16,PhD,0.31,0.88,0.5,Medium
Doctor,87454,15,PhD,0.27,0.86,0.29,Low
Teacher,127216,7,Master's,0.94,0.86,0.15,Low
Data Scientist,89871,29,Master's,0.22,1.16,0.47,Medium
Mechanic,140564,19,Bachelor's,0.51,1.24,0.57,Medium
Software Engineer,76887,18,PhD,0.77,0.77,0.57,Medium
AI Engineer,94817,12,High School,0.54,1.45,0.24,Low
Lawyer,90388,5,Master's,0.58,1.09,0.53,Medium
Teacher,133323,3,Master's,0.09,0.89,0.2,Low
Security Guard,119526,10,PhD,0.46,0.72,0.88,High
Data Scientist,62676,4,PhD,0.16,0.75,0.66,Medium
Data Scientist,44590,22,High School,0.08,1.35,0.47,Medium
Software Engineer,68463,5,Bachelor's,0.78,0.81,0.58,Medium
Software Engineer,52053,16,Bachelor's,0.74,0.7,0.38,Medium
Software Engineer,104767,24,Bachelor's,0.86,1.07,0.55,Medium
Software Engineer,65303,20,PhD,0.6,0.53,0.49,Medium
Chef,34312,3,Bachelor's,0.63,0.79,0.34,Medium
Nurse,69794,21,Bachelor's,0.54,0.66,0.17,Low
Truck Driver,80102,23,Master's,0.09,0.78,0.77,High
Construction Worker,106743,11,Master's,0.63,0.72,0.8,High
Security Guard,67333,10,High School,0.12,0.99,0.73,High
AI Engineer,80724,18,Bachelor's,0.99,1.07,0.09,Low
HR Specialist,107684,5,High School,0.6,1.48,0.68,Medium
Marketing Manager,57161,28,PhD,0.5,1.17,0.33,Medium
UX Researcher,33687,15,High School,0.64,0.87,0.64,Medium
Customer Support,58777,18,Master's,0.28,0.56,0.78,High
Graphic Designer,58915,24,Master's,0.84,0.56,0.54,Medium
Lawyer,148222,2,PhD,0.8,0.75,0.32,Medium
UX Researcher,100880,21,Bachelor's,0.24,1.02,0.37,Medium
Teacher,112056,19,High School,0.79,0.66,0.11,Low
Software Engineer,133144,16,Master's,0.66,0.51,0.36,Medium
Software Engineer,127364,0,Master's,0.7,1.34,0.52,Medium
Security Guard,147257,23,High School,0.91,1.07,0.75,High
UX Researcher,141706,18,Bachelor's,0.67,0.89,0.46,Medium
Construction Worker,60795,2,Bachelor's,0.58,0.59,0.79,High
Security Guard,137729,26,Bachelor's,0.45,0.96,0.87,High
Nurse,59340,5,High School,0.86,1.36,0.29,Low
HR Specialist,75487,2,High School,0.09,0.82,0.55,Medium
Truck Driver,123258,17,Master's,0.26,0.89,0.83,High
Teacher,37160,9,Bachelor's,0.85,1.01,0.17,Low
UX Researcher,43869,7,High School,0.63,1.27,0.41,Medium
Construction Worker,142266,20,Master's,0.18,0.58,0.85,High
HR Specialist,112833,24,High School,0.34,0.61,0.32,Medium
Retail Worker,124538,10,Bachelor's,0.01,1.23,0.73,High
Software Engineer,54608,4,High School,0.43,0.54,0.36,Medium
Marketing Manager,41367,11,Bachelor's,0.66,0.91,0.5,Medium
Nurse,123159,22,PhD,0.07,1.38,0.11,Low
Construction Worker,138864,11,Bachelor's,0.55,1.37,0.83,High
Security Guard,125504,14,High School,0.97,0.74,0.93,High
Data Scientist,90302,18,PhD,0.64,0.5,0.4,Medium
Research Scientist,72722,0,Bachelor's,0.48,1.21,0.1,Low
Retail Worker,116379,20,High School,0.17,1.25,0.91,High
Data Scientist,72412,21,Bachelor's,0.39,1.02,0.48,Medium
Customer Support,74956,1,High School,0.27,0.56,0.75,High
Teacher,108872,16,High School,0.27,0.89,0.17,Low
HR Specialist,90542,19,High School,0.33,1.15,0.7,Medium
Customer Support,48481,9,Bachelor's,0.65,0.68,0.83,High
Marketing Manager,37075,10,Master's,0.46,1.16,0.69,Medium
Lawyer,100043,26,Master's,0.46,0.69,0.64,Medium
Software Engineer,105069,12,Master's,0.82,0.98,0.6,Medium
Teacher,82692,9,High School,0.46,0.77,0.16,Low
Data Scientist,71918,15,PhD,0.13,1.03,0.57,Medium
Customer Support,33264,11,Bachelor's,0.53,1.37,0.78,High
Construction Worker,144047,16,High School,0.43,1.48,0.75,High
Research Scientist,83433,4,Master's,0.73,0.99,0.07,Low
Chef,99201,3,PhD,0.57,1.02,0.56,Medium
Software Engineer,145131,19,High School,0.64,1.03,0.52,Medium
Nurse,134290,8,PhD,0.07,1.1,0.29,Low
Teacher,100779,21,PhD,0.8,1.3,0.19,Low
Research Scientist,100935,5,PhD,0.89,0.58,0.2,Low
Doctor,59483,25,High School,0.34,0.56,0.18,Low
Marketing Manager,61155,26,High School,0.95,1.13,0.59,Medium
Marketing Manager,34176,6,Master's,0.82,1.26,0.45,Medium
Customer Support,50746,12,Master's,0.95,0.87,0.95,High
Doctor,104557,18,Master's,0.47,0.79,0.27,Low
Doctor,131242,14,Bachelor's,0.75,1.47,0.21,Low
Software Engineer,116949,11,High School,0.29,0.98,0.65,Medium
Data Scientist,88204,14,PhD,0.5,0.84,0.55,Medium
Doctor,45089,4,PhD,0.96,0.65,0.29,Low
Teacher,83341,5,Master's,0.1,1.14,0.1,Low
Construction Worker,126621,13,High School,0.55,0.88,0.73,High
Retail Worker,128283,4,Bachelor's,0.53,1.46,0.93,High
Lawyer,100446,9,High School,0.03,1.3,0.46,Medium
Chef,107413,21,Bachelor's,0.7,0.85,0.48,Medium
Research Scientist,106789,20,PhD,0.16,0.93,0.15,Low
Chef,86193,3,High School,0.33,1.23,0.53,Medium
Chef,102652,16,High School,0.69,1.31,0.45,Medium
Mechanic,131038,25,PhD,0.58,1.23,0.39,Medium
Retail Worker,55143,2,Master's,0.19,1.08,0.85,High
Financial Analyst,112702,22,Bachelor's,0.81,1.31,0.45,Medium
Customer Support,141459,26,PhD,0.02,0.7,0.8,High
Graphic Designer,56107,24,High School,0.73,0.98,0.52,Medium
Lawyer,98402,8,Bachelor's,0.47,0.7,0.43,Medium
Security Guard,36005,14,High School,0.33,0.52,0.82,High
Doctor,81038,25,Bachelor's,0.07,0.88,0.26,Low
UX Researcher,96783,20,Bachelor's,0.63,1.16,0.49,Medium
Nurse,101020,21,PhD,0.78,1.15,0.16,Low
Lawyer,95217,16,Bachelor's,0.66,0.78,0.63,Medium
UX Researcher,97323,19,Bachelor's,0.61,0.84,0.42,Medium
Teacher,80049,19,Bachelor's,0.47,0.56,0.28,Low
Nurse,48428,2,Master's,0.22,0.68,0.24,Low
Teacher,85331,27,High School,0.96,1.46,0.09,Low
Marketing Manager,35973,2,High School,0.53,0.88,0.45,Medium
Software Engineer,67236,10,Master's,0.06,1.19,0.32,Medium
Financial Analyst,112473,25,PhD,0.4,1.28,0.56,Medium
Chef,138480,27,Bachelor's,0.12,0.95,0.47,Medium
Data Scientist,73464,27,Master's,0.56,1.1,0.44,Medium
Doctor,118060,19,Bachelor's,0.26,0.76,0.14,Low
Software Engineer,76905,12,High School,0.87,0.62,0.67,Medium
Data Scientist,101341,15,High School,0.85,0.51,0.42,Medium
Security Guard,119314,26,Master's,0.49,1.3,0.79,High
Customer Support,109455,26,PhD,0.44,1.34,0.9,High
Software Engineer,96951,6,Master's,0.08,1.34,0.69,Medium
Software Engineer,44057,5,High School,0.5,0.64,0.64,Medium
Retail Worker,60185,28,High School,0.36,0.6,0.78,High
Data Scientist,63797,24,Bachelor's,0.68,0.79,0.31,Medium
HR Specialist,52792,6,High School,0.47,0.91,0.39,Medium
AI Engineer,136827,15,High School,0.64,1.15,0.07,Low
Nurse,34134,12,PhD,0.19,1.22,0.06,Low
Security Guard,117463,19,High School,0.06,0.9,0.8,High
AI Engineer,74597,12,High School,0.48,1.17,0.25,Low
HR Specialist,40603,24,High School,0.49,0.94,0.42,Medium
Teacher,106968,22,Master's,0.7,0.56,0.22,Low
Graphic Designer,149700,26,PhD,0.79,0.79,0.61,Medium
Doctor,77890,26,High School,0.19,1.48,0.23,Low
Research Scientist,141930,5,Bachelor's,0.02,1.08,0.26,Low
Financial Analyst,65976,2,Bachelor's,0.47,1.03,0.6,Medium
Marketing Manager,81356,7,High School,0.14,0.94,0.36,Medium
Nurse,129928,0,Bachelor's,0.76,0.8,0.25,Low
Truck Driver,51625,1,Bachelor's,0.61,0.74,0.75,High
Chef,118760,20,High School,0.05,0.9,0.4,Medium
Software Engineer,111299,27,High School,0.16,0.9,0.52,Medium
UX Researcher,94535,1,High School,0.7,0.71,0.41,Medium
Truck Driver,116030,1,Master's,0.79,0.88,0.95,High
Security Guard,90127,24,PhD,0.08,1.14,0.9,High
Software Engineer,55577,7,High School,0.81,1.1,0.69,Medium
Construction Worker,82573,24,High School,0.95,0.74,0.89,High
Doctor,44703,3,PhD,0.56,0.86,0.09,Low
Financial Analyst,66003,2,High School,0.77,1.15,0.42,Medium
Research Scientist,44756,11,High School,0.2,0.86,0.29,Low
Graphic Designer,45380,20,Bachelor's,0.04,1,0.32,Medium
Truck Driver,139044,6,High School,0.19,1.23,0.83,High
Data Scientist,114705,29,Master's,0.52,1.45,0.56,Medium
Nurse,141375,16,PhD,0.34,1.41,0.09,Low
Construction Worker,135454,16,PhD,0.19,0.97,0.91,High
Research Scientist,55903,23,Master's,0.26,0.68,0.09,Low
Retail Worker,55036,21,High School,0.44,0.94,0.83,High
Financial Analyst,117309,8,PhD,0.77,1.24,0.44,Medium
Software Engineer,100412,21,Bachelor's,0.28,0.61,0.57,Medium
Financial Analyst,32414,16,Bachelor's,0.84,1.04,0.6,Medium
Mechanic,140419,14,PhD,0.29,0.98,0.46,Medium
Research Scientist,55976,17,Master's,0.11,1.01,0.18,Low
Doctor,78787,25,Master's,0.96,1.09,0.13,Low
Security Guard,104918,4,High School,0.41,1.21,0.92,High
Retail Worker,118121,25,Master's,0.46,1.18,0.83,High
Truck Driver,34847,10,PhD,0.21,1.23,0.82,High
Retail Worker,100182,12,PhD,0.78,1.04,0.76,High
Software Engineer,128757,14,PhD,0.41,0.85,0.34,Medium
UX Researcher,129584,7,Bachelor's,0.77,1.2,0.36,Medium
Construction Worker,59476,5,Master's,0.03,0.5,0.77,High
Research Scientist,81880,3,Master's,0.52,1.08,0.24,Low
AI Engineer,148283,25,Bachelor's,0.37,1.48,0.08,Low
Lawyer,32393,24,PhD,0.59,1.22,0.56,Medium
Retail Worker,35481,1,High School,0.13,1.39,0.89,High
Data Scientist,137033,28,Bachelor's,0.88,1.24,0.48,Medium
AI Engineer,49361,20,Master's,0.68,1.34,0.17,Low
Teacher,59146,9,Bachelor's,0.04,1.43,0.1,Low
Financial Analyst,113102,26,PhD,0.75,1.34,0.67,Medium
